,Unnamed: 0,Rank,Name,City,State,Public/Private,Undergraduate Population,Student Population,Net Price,Average Grant Aid,Total Annual Cost,Alumni Salary,Acceptance Rate,SAT Lower,SAT Upper,ACT Lower,ACT Upper,Website,School Type,Starting Median Salary,Mid-Career Median Salary,Mid-Career 10th Percentile Salary,Mid-Career 25th Percentile Salary,Mid-Career 75th Percentile Salary,Mid-Career 90th Percentile Salary,Region,aboutLocation
81,81,486.0,Tennessee Technological University,Cookeville,TN,Public,10215.0,10504.0,14813.0,9050.0,42377.0,95100.0,64.0,1010.0,1250.0,21.0,28.0,www.tntech.edu,Engineering,"$46,200.00","$80,000.00","$42,100.00","$62,600.00","$99,500.00","$121,000.00",Southern,https://wikitravel.org/en/Cookeville
82,82,513.0,Georgia State University,Atlanta,GA,Public,29773.0,32816.0,15506.0,10090.0,40873.0,90800.0,70.0,1040.0,1220.0,19.0,26.0,www.gsu.edu,State,"$41,800.00","$74,000.00","$43,000.00","$55,300.00","$99,900.00","$145,000.00",Southern,https://wikitravel.org/en/Atlanta
84,84,575.0,Randolph-Macon College,Ashland,VA,Private,1453.0,1491.0,25621.0,25338.0,54180.0,,62.0,1050.0,1233.0,21.0,27.0,www.rmc.edu,Liberal Arts,"$42,600.00","$83,600.00",,"$54,100.00","$123,000.00",,Southern,https://wikitravel.org/en/Richmond
85,85,591.0,Bowling Green State University,Bowling Green,OH,Public,16592.0,17357.0,19128.0,6542.0,32105.0,87500.0,73.0,990.0,1230.0,19.0,24.0,www.bgsu.edu,State,"$39,800.00","$72,100.00","$38,200.00","$51,800.00","$101,000.00","$146,000.00",Midwestern,https://wikitravel.org/en/Bowling_Green_(Ohio)
86,86,601.0,Wayne State University,Detroit,MI,Public,20314.0,27064.0,12970.0,9682.0,40763.0,91700.0,67.0,1000.0,1210.0,21.0,28.0,wayne.edu,State,"$42,800.00","$76,100.00","$40,100.00","$56,200.00","$101,000.00","$139,000.00",Midwestern,https://wikitravel.org/en/Detroit
87,87,609.0,University of Toledo,Toledo,OH,Public,18077.0,20579.0,13832.0,8050.0,34375.0,92500.0,94.0,1020.0,1240.0,20.0,26.0,www.utoledo.edu,State,"$43,100.00","$75,900.00","$40,100.00","$54,100.00","$100,000.00","$133,000.00",Midwestern,https://wikitravel.org/en/Toledo_(Ohio)
88,88,610.0,University of Montana,Missoula,MT,Public,11671.0,11865.0,15006.0,5404.0,38356.0,87800.0,93.0,1060.0,1270.0,21.0,26.0,www.umt.edu,State,"$37,300.00","$71,900.00","$37,000.00","$51,500.00","$96,400.00","$138,000.00",Western,https://wikitravel.org/en/Missoula
89,89,622.0,Cleveland State University,Cleveland,OH,Public,14594.0,16371.0,16582.0,7096.0,30825.0,88600.0,90.0,990.0,1210.0,19.0,25.0,www.csuohio.edu,State,"$43,500.00","$73,100.00","$39,500.00","$51,600.00","$97,000.00","$137,000.00",Midwestern,https://wikitravel.org/en/Cleveland
90,90,623.0,Humboldt State University,Arcata,CA,Public,8525.0,8602.0,14490.0,9038.0,36601.0,89000.0,82.0,960.0,1160.0,18.0,24.0,www.humboldt.edu,State,"$42,600.00","$71,300.00","$36,000.00","$56,300.00","$94,400.00","$117,000.00",California,https://wikitravel.org/en/Arcata
91,91,629.0,Southern Illinois University Carbondale,Carbondale,IL,Public,13518.0,14554.0,17175.0,10924.0,42770.0,90900.0,76.0,920.0,1330.0,20.0,26.0,siu.edu,State,"$43,000.00","$72,500.00","$38,300.00","$51,300.00","$99,300.00","$139,000.00",Midwestern,https://wikitravel.org/en/Carbondale_(Illinois)
92,92,635.0,"University of Alaska, Anchorage",Anchorage,AK,Public,15733.0,23824.0,13378.0,6207.0,39902.0,101000.0,83.0,,,,,www.uaa.alaska.edu,State,"$45,900.00","$72,600.00","$39,800.00","$56,600.00","$99,300.00","$137,000.00",Western,https://wikitravel.org/en/Anchorage
93,93,636.0,Fort Lewis College,Durango,CO,Public,3332.0,3925.0,17705.0,10850.0,36843.0,82600.0,83.0,1020.0,1210.0,20.0,25.0,www.fortlewis.edu,Liberal Arts,"$42,000.00","$69,800.00",,"$55,000.00","$94,000.00",,Western,https://wikitravel.org/en/Durango_(Colorado)
94,94,646.0,New Mexico State University,Las Cruces,NM,Public,13379.0,14432.0,8625.0,9582.0,34720.0,96700.0,64.0,910.0,1160.0,18.0,23.0,www.nmsu.edu,State,"$44,300.00","$79,500.00","$37,400.00","$53,800.00","$102,000.00","$131,000.00",Western,https://wikitravel.org/en/Las_Cruces
